"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SKA1"	1.30867479177921	3.29367600906887	9.7914408021808	2.39660269295027e-21	9.95908249055486e-19	37.7041935847121
"DNAJB11"	1.87852218764329	2.3856457264876	9.78162994524524	2.61102033717818e-21	1.05854585474575e-18	37.6204083340504
"GMPS"	2.23470892008756	2.66511402104821	9.77027449494522	2.88302596201711e-21	1.14099184620591e-18	37.5235122978853
"SNRPA1"	2.34990954052076	3.35652911231267	9.75531293536165	3.28471192340298e-21	1.2697321300187e-18	37.3959767254259
"LRRC48"	-1.32152132563092	-0.24850817722865	-9.71813410586461	4.5392641421017e-21	1.68006836921942e-18	37.0797042898354
"KIF4B"	1.44149696522935	2.58927140021074	9.71790334187916	4.54837423985525e-21	1.68006836921942e-18	37.0777441189894
"NCAPH"	1.00094422751707	2.74076826502617	9.70768879070935	4.97030415619176e-21	1.79600860183086e-18	36.9910147543566
"SGOL1"	1.07646285108275	2.95002758835813	9.69526093710846	5.53626390447312e-21	1.95795273659898e-18	36.8855871212158
"GTPBP4"	2.57492986099858	2.29780859198898	9.65844634260524	7.61529083814149e-21	2.63518839985583e-18	36.5738914268988
"DEPDC1"	1.13492817946387	2.77724529803306	9.65417566841572	7.90176356064916e-21	2.63518839985583e-18	36.5377922080517
"TUBA1C"	1.20718311517273	2.74497885343113	9.65380961908598	7.92680904781564e-21	2.63518839985583e-18	36.5346986322827
"SHCBP1"	1.02945720760902	2.55248617670799	9.6240689512161	1.02478185304053e-20	3.33998509043916e-18	36.283654467071
"STIL"	1.24041798296782	2.71121726963636	9.61993156099813	1.06200576741952e-20	3.39474228193216e-18	36.2487775943164
"DKC1"	1.25531070859483	1.37705714499587	9.60538256800146	1.20386066338696e-20	3.77557961260718e-18	36.1262260731342
"BUB1"	0.912492035029882	2.89749164228099	9.59934973156591	1.26804826676539e-20	3.90324042410635e-18	36.0754512369938
"KIF18A"	1.07419526676227	2.52585553843251	9.56737580586396	1.66925418313605e-20	5.04478964219771e-18	35.8067567871438
"CDC45"	0.818802719180624	2.18905631449036	9.55966636240599	1.78346081783697e-20	5.29369387751537e-18	35.7420737659142
"SKA3"	0.980325689623991	2.72720439514738	9.55190486523159	1.90625520583168e-20	5.55890772479547e-18	35.6769947464795
"ZBTB4"	-1.96008507555699	-3.57972106511846	-9.54829802731995	1.96613443700897e-20	5.63467010551088e-18	35.6467658556866
